"Group.1","DISTANCE","DELAYED","TOTAL"
"FAT",3663825,2393,7017
"FAY",540854,479,1634
"FCA",1487167,567,2024
"FLG",197540,391,1660
"FLL",77446617,31647,73599
"FNT",2706612,1697,4746
"FSD",2408555,1942,5329
"FSM",683734,732,1970
"FWA",1721424,1566,5262
"GCC",342429,236,995
"GCK",267448,236,662
"GEG",5727084,3676,9504
"GFK",203912,145,718
"GGG",90020,186,643
"GJT",1581181,839,3179
"GNV",801036,848,2682
"GPT",1436860,1102,3604
"GRB",1246293,1409,4883
"GRI",355674,210,634
"GRK",965767,1347,4033
"GRR",5082962,4089,10840
"GSO",3107802,2294,6734
"GSP",3010496,2325,6542
"GST",3157,24,77
"GTF",1164192,495,1966
"GTR",223407,251,927
"GUC",211175,213,495
"GUM",1269534,241,334
"HDN",617558,280,703
"HIB",127126,136,897
"HLN",758126,310,1434
"HNL",54902554,14676,43157
"HOB",286071,117,571
"HOU",37060660,22392,52041
"HPN",6633147,2940,7459
"HRL",874279,1019,3084
"HSV",1608186,1391,4522
"HYA",16268,19,83
"HYS",170795,153,573
"IAD",44028439,15412,34282
"IAG",317656,115,322
"IAH",120755534,53198,146683
"ICT",4539698,3050,8097
"IDA",681055,590,2247
"ILG",84390,40,98
"ILM",681194,528,1861
"IMT",105067,95,621
"IND",18540521,9814,25557
"INL",90565,132,574
"ISN",1674336,662,2542
"ISP",3262972,2077,4392
"ITH",12355,11,35
"ITO",1755521,1441,5723
"JAC",2286619,1451,3510
"JAN",2786816,2292,7098
"JAX",10502435,6880,18040
"JFK",135262706,36792,93809
"JLN",217782,265,666
"JMS",325520,208,814
"JNU",2046626,1164,4096
"KOA",11060531,3076,11113
"KTN",1064102,720,2320
"LAN",433331,497,1848
"LAR",66135,150,582
"LAS",132914385,54693,133198
"LAW",186200,428,1330
"LAX",243087516,81828,194696
"LBB",1804872,1744,4636
"LBE",1181002,540,1280
"LCH",367469,511,1859
"LEX",2420709,1747,5982
"LFT",1779078,1557,5147
"LGA",79388318,39635,99581
"LGB",6861706,2963,8778
"LIH",9757779,2818,10545
"LIT",5424905,4182,10417
"LNK",1265790,825,2637
"LRD",784497,620,2202
"LSE",306562,454,1646
"LWS",270607,63,587
"MAF",3283098,2752,7522
"MBS",353730,540,1720
"MCI",28274231,16013,38655
"MCO",105762669,44302,110980
"MDT",1860577,1173,3286
"MDW",64907312,33702,80884
"MEI",301493,301,908
"MEM",8207992,5614,14769
"MFE",1298462,1169,3407
"MFR",1305067,768,2471
"MGM",926412,1116,3171
"MHK",749684,576,1634
"MHT",4070887,2695,6292
"MIA",73485170,24567,69324
"MKE",20661884,11065,29833
"MKG",78706,185,667
"MLB",588744,471,1332
"MLI",1594022,1367,3777
"MLU",1030802,886,2962
"MMH",35978,48,156
"MOB",2069407,1609,5017
"MOT",988750,543,1850
"MQT",93289,120,305
"MRY",845688,815,2974
"MSN",3724882,2938,9129
"MSO",1326624,537,2077
"MSP",90654803,35993,112128
"MSY",28495630,15870,38802
"MTJ",595029,429,999
"MVY",26813,75,205
"MYR",2421874,1685,4830
"OAJ",453264,410,1136
"OAK",30111993,19150,42313
"OGG",25916572,5636,20638
"OKC",9599488,6743,16147
"OMA",10907163,6551,16752
"OME",256253,194,663
"ONT",9877779,7442,17979
"ORD",205450403,97990,285906
"ORF",5040186,3827,9375
"ORH",768868,148,668
"OTH",130256,117,275
"OTZ",346169,155,663
"PAH",227772,196,666
"PBG",349515,151,282
"PBI",20686733,9569,22574
"PDX",51346303,17636,47081
"PHF",644833,479,1264
"PHL",69867786,24973,66017
"PHX",141942264,54289,146812
"PIA",1766891,1404,4667
"PIB",39537,180,573
"PIH",98100,79,654
"PIT",17440699,9315,24121
"PLN",182736,175,752
"PNS",2874872,2421,6534
"PPG",278093,45,107
"PSC",1665206,760,2435
"PSE",1031721,393,751
"PSG",51128,228,664
"PSP",5731029,2837,8988
"PUB",28776,60,264
"PVD",8213747,4450,11059
"PWM",2539727,1774,4680
"RAP",1807828,1001,3269
"RDD",144673,217,727
"RDM",1305063,572,2153
"RDU",20323040,12681,31897
"RHI",145892,186,953
"RIC",8224167,5592,15351
"RKS",176488,190,690
"RNO",7520542,5442,13010
"ROA",949305,695,2283
"ROC",3731408,2913,7446
"ROW",423255,318,973
"RST",652855,707,2054
"RSW",26310726,10491,27349
"SAF",790020,531,1502
"SAN",68916889,29593,70207
"SAT",21302544,13465,29784
"SAV",4125379,2465,7539
"SBA",2411752,1669,6017
"SBN",1372517,1358,4452
"SBP",777155,868,3132
"SCC",456138,215,855
"SCE",438301,310,915
"SDF",5728492,3925,10199
"SEA",140473474,37875,110907
"SFO",177511379,65917,147966
"SGF",2881298,2328,6237
"SGU",627186,361,1778
"SHV",2086928,2087,6100
"SIT",350680,359,1342
"SJC",27835007,15026,38204
"SJT",372812,473,1628
"SJU",34042659,11015,24653
"SLC",71781647,28372,97193
"SMF",25666085,16002,37212
"SMX",122872,170,663
"SNA",29633625,14613,37195
"SPI",544548,535,1586
"SPS",139329,386,1233
"SRQ",2391711,1194,3370
"STC",32308,41,82
"STL",33684484,18497,46962
"STT",5365392,1689,4348
"STX",750928,368,938
"SUN",313473,263,959
"SUX",270320,215,620
"SWF",714915,282,690
"SYR",3057110,1988,5610
"TLH",1147877,1055,3193
"TOL",204693,275,961
"TPA",55164366,25990,63914
"TRI",437883,544,1929
"TTN",2124618,1148,2836
"TUL",7078183,5575,13970
"TUS",10645607,5892,15116
"TVC",671214,839,2758
"TWF",142625,101,815
"TXK",176656,310,976
"TYR",276466,696,2299
"TYS",3716477,2518,6964
"UST",123726,67,155
"VEL",27060,7,205
"VLD",194480,290,935
"VPS",2155638,1649,4868
"WRG",37516,214,664
"WYS",56784,27,208
"XNA",4913557,3392,9284
"YAK",136342,189,662
"YUM",300480,396,1878
