"Group.1","YEAR","MONTH","DAY","DAY_OF_WEEK","AIRLINE","FLIGHT_NUMBER","TAIL_NUMBER","ORIGIN_AIRPORT","DESTINATION_AIRPORT","SCHEDULED_DEPARTURE","DEPARTURE_TIME","DEPARTURE_DELAY","TAXI_OUT","WHEELS_OFF","SCHEDULED_TIME","ELAPSED_TIME","AIR_TIME","DISTANCE","WHEELS_ON","TAXI_IN","SCHEDULED_ARRIVAL","ARRIVAL_TIME","ARRIVAL_DELAY","DIVERTED","CANCELLED","CANCELLATION_REASON","AIR_SYSTEM_DELAY","SECURITY_DELAY","AIRLINE_DELAY","LATE_AIRCRAFT_DELAY","WEATHER_DELAY","DURATION"
"MHT",2015,6.31039415130324,15.6320724729816,3.90813731722823,NA,2683.81452638271,NA,NA,NA,1525.95756516211,1492.06309599491,11.7921169739352,14.6180864589955,1511.88827082009,111.589001907184,104.339319771138,85.0537190082645,646.994119516847,1460.43849332486,4.68038779402416,1529.6444691672,1455.50031786395,6.99109980928163,0.000635727908455181,0.0243165924984107,NA,1.56118881118881,0.00651621106166561,4.46010807374444,5.08264462809917,0.686745073108709,-36.5627781309599
"MIA",2015,6.1188621545208,15.6755524782182,4.00702498413248,NA,1493.70583059258,NA,NA,NA,1235.45409959033,1222.99402804224,9.86232762102591,18.2563614332699,1231.59152674398,171.952397438117,165.435044140557,138.220919162195,1060.02495528244,1398.78662512261,9.07775085107611,1439.68475564018,1407.49221048987,5.81859096416825,0.00341872944434828,0.011222664589464,NA,2.75330332929433,0.0240609312792107,4.44838728290347,4.49301829092378,0.636806877848941,184.498182447637
"MKE",2015,6.18972279019877,15.6350685482519,3.86843428418195,NA,2736.53494452452,NA,NA,NA,1390.86860188382,1374.75979619884,9.34944524519827,16.3126068447692,1399.39536754601,123.788623336574,115.886937284215,94.1854992793216,692.584855696712,1486.5524084068,5.44075352797238,1533.02681594208,1488.03378808702,3.64405188884792,0.00227935507659303,0.0180337210471625,NA,1.4713572218684,0.00425703080481346,3.49522341031743,4.60416317500754,0.529950055307881,113.273991888178
"MKG",2015,6.19490254872564,15.6806596701649,3.98950524737631,NA,5393.73013493253,NA,NA,NA,1326.89205397301,1243.55772113943,8.19640179910045,19.2203898050975,1278.18140929535,55.9070464767616,49.8050974512744,26.383808095952,118,1404.49775112444,4.38380809595202,1518.90104947526,1410.62068965517,6.11994002998501,0.00299850074962519,0.0719640179910045,NA,1.65217391304348,0,4.88005997001499,5.24287856071964,0.436281859070465,167.062968515742
"MLB",2015,6.23573573573574,15.7717717717718,3.9466966966967,NA,2053.32507507507,NA,NA,NA,1455.02702702703,1453.71921921922,7.37012012012012,16.6591591591592,1472.48048048048,90.1351351351351,85.1756756756757,63.8948948948949,442,1564.35735735736,4.63288288288288,1597.74474474474,1569.17042042042,2.74924924924925,0.000750750750750751,0.003003003003003,NA,1.21546546546547,0,3.01126126126126,2.90690690690691,0.83033033033033,115.451201201201
"MLI",2015,5.791104050834,15.6775218427323,3.93936987026741,NA,4312.6558114906,NA,NA,NA,1517.61080222399,1475.36854646545,9.64230871061689,18.4906010060895,1504.10325655282,90.099285146942,84.0389197776013,61.2936192745565,422.033889330156,1573.13396875827,4.30659253375695,1648.36139793487,1577.52528461742,6.54381784485041,0.00105904156738152,0.0378607360338893,NA,2.14323537198835,0.0381254964257347,4.28329361927456,4.41143764892772,0.631718294943077,102.156738151972
"MLU",2015,6.24983119513842,15.6995273463876,3.85550303848751,NA,4348.86360567184,NA,NA,NA,1483.04726536124,1455.97771775827,8.31600270087779,17.5438892640108,1482.41897366644,79.3217420661715,75.6944632005402,54.3237677245105,348.008777852802,1527.08676569885,3.86461850101283,1571.22788656313,1532.32883187036,6.54962862930452,0.00168804861580013,0.024645509790682,NA,1.63369345037137,0.00337609723160027,4.44564483457124,4.87238352464551,0.217083051991897,76.3511141120864
"MMH",2015,3.31410256410256,15.7435897435897,4.25641025641026,NA,5646.25,NA,NA,NA,1350.15384615385,1248.09615384615,8.1474358974359,18.1730769230769,1278.57692307692,68.6602564102564,61.6089743589744,40.3653846153846,230.628205128205,1304.30769230769,3.79487179487179,1454.96794871795,1309.38461538462,7.96794871794872,0,0.102564102564103,NA,1.26923076923077,0,5.45512820512821,3.19230769230769,1.97435897435897,61.2884615384615
"MOB",2015,6.23759218656568,15.7012158660554,3.86007574247558,NA,4303.67191548734,NA,NA,NA,1531.19493721347,1503.61510863066,7.77576240781343,17.9268487143711,1528.81542754634,86.0179390073749,83.4385090691648,61.3924656169025,412.478971496911,1581.56069364162,4.21407215467411,1624.46820809249,1586.18935618896,7.09926250747459,0.00318915686665338,0.0175403627665936,NA,2.17580227227427,0.0113613713374527,4.04604345226231,3.5513254933227,0.686864660155471,82.5742475583018
"MOT",2015,6.54486486486486,15.3691891891892,3.88594594594595,NA,5148.75081081081,NA,NA,NA,1420.80432432432,1403.92756756757,5.93945945945946,18.6594594594595,1438.32756756757,105.514594594595,101.68,77.9416216216216,534.459459459459,1605.22972972973,5.20540540540541,1649.36756756757,1611.77567567568,4.10702702702703,0.00540540540540541,0.0151351351351351,NA,1.87135135135135,0,2.89351351351351,3.50702702702703,0.462702702702703,207.848108108108
