"YEAR","MONTH","DAY","DAY_OF_WEEK","AIRLINE","FLIGHT_NUMBER","TAIL_NUMBER","ORIGIN_AIRPORT","DESTINATION_AIRPORT","SCHEDULED_DEPARTURE","DEPARTURE_TIME","DEPARTURE_DELAY","TAXI_OUT","WHEELS_OFF","SCHEDULED_TIME","ELAPSED_TIME","AIR_TIME","DISTANCE","WHEELS_ON","TAXI_IN","SCHEDULED_ARRIVAL","ARRIVAL_TIME","ARRIVAL_DELAY","DIVERTED","CANCELLED","CANCELLATION_REASON","AIR_SYSTEM_DELAY","SECURITY_DELAY","AIRLINE_DELAY","LATE_AIRCRAFT_DELAY","WEATHER_DELAY","DURATION","DELAYED","TOTAL"
2015,1,1,4,"UA",319,"N498UA","EWR","MCO",600,603,3,14,617,173,152,135,937,832,3,853,835,-18,0,0,"",0,0,0,0,0,232,1,1
2015,1,1,4,"UA",374,"N415UA","OMA","ORD",600,612,12,19,631,97,79,57,416,728,3,737,731,-6,0,0,"",0,0,0,0,0,119,1,1
2015,1,1,4,"UA",544,"N831UA","PIT","IAH",600,622,22,19,641,195,197,175,1117,836,3,815,839,24,0,0,"",2,0,22,0,0,217,1,1
2015,1,1,4,"WN",4822,"N293WN","LAS","BWI",600,602,2,10,612,270,243,230,2106,1302,3,1330,1305,-25,0,0,"",0,0,0,0,0,703,1,1
2015,1,1,4,"WN",2215,"N249WN","ABQ","HOU",600,607,7,29,636,120,135,103,759,919,3,900,922,22,0,0,"",15,0,7,0,0,315,1,1
2015,1,1,4,"WN",676,"N630WN","PHX","SLC",600,601,1,9,610,95,88,76,507,726,3,735,729,-6,0,0,"",0,0,0,0,0,128,1,1
2015,1,1,4,"WN",4859,"N8641B","PVD","BWI",600,606,6,11,617,100,81,63,327,720,7,740,727,-13,0,0,"",0,0,0,0,0,121,1,1
2015,1,1,4,"UA",1188,"N68822","PDX","IAH",600,613,13,11,624,244,242,224,1825,1208,7,1204,1215,11,0,0,"",0,0,0,0,0,602,1,1
2015,1,1,4,"UA",1224,"N87531","SFO","LAX",600,605,5,11,616,88,72,52,337,708,9,728,717,-11,0,0,"",0,0,0,0,0,112,1,1
2015,1,1,4,"UA",1296,"N37471","SAT","LAX",600,616,16,10,626,207,188,170,1211,716,8,727,724,-3,0,0,"",0,0,0,0,0,108,1,1
2015,1,1,4,"UA",1431,"N36207","BOS","LAX",600,603,3,13,616,404,396,376,2611,932,7,944,939,-5,0,0,"",0,0,0,0,0,336,1,1
2015,1,1,4,"UA",1637,"N33294","SEA","EWR",600,606,6,10,616,311,291,268,2402,1344,13,1411,1357,-14,0,0,"",0,0,0,0,0,751,1,1
2015,1,1,4,"UA",1735,"N66814","LAX","ORD",600,607,7,13,620,250,227,201,1744,1141,13,1210,1154,-16,0,0,"",0,0,0,0,0,547,1,1
2015,1,1,4,"AA",72,"N5EKAA","DFW","MCO",600,606,6,18,624,145,142,120,985,924,4,925,928,3,0,0,"",0,0,0,0,0,322,1,1
