"Group.1","DISTANCE","DELAYED","TOTAL"
"GRK",965474,946,4033
"GRR",5168389,3027,10845
"GSO",3110502,1933,6737
"GSP",3009143,1838,6542
"GST",3157,45,77
"GTF",1164192,286,1966
"GTR",223407,187,927
"GUC",211479,167,497
"GUM",1269534,226,334
"HDN",617558,236,703
"HIB",127300,169,898
"HLN",758720,179,1435
"HNL",54907802,12290,43172
"HOB",286071,83,571
"HOU",37047479,25190,52042
"HPN",6617144,2588,7443
"HRL",873161,668,3079
"HSV",1620819,1161,4519
"HYA",16268,36,83
"HYS",170754,120,573
"IAD",44374327,14565,34305
"IAG",317656,96,322
"IAH",120907851,61360,146622
"ICT",4528657,2575,8096
"IDA",681055,388,2247
"ILG",86072,55,100
"ILM",681009,394,1860
"IMT",105000,89,620
"IND",18483369,7966,25558
"INL",90565,80,574
"ISN",1674336,499,2542
"ISP",3259275,1735,4392
"ITH",12002,11,34
"ITO",1755521,1383,5723
"JAC",2185502,903,3511
"JAN",2783316,1865,7097
"JAX",10507822,5713,18038
"JFK",135262436,35331,93811
"JLN",217782,172,666
"JMS",207536,200,812
"JNU",1969444,1191,4094
"KOA",11060054,2953,11114
"KTN",1063422,664,2319
"LAN",434067,444,1849
"LAR",65653,110,581
"LAS",132877774,57031,133181
"LAW",186340,302,1331
"LAX",243240646,81954,194673
"LBB",1805153,1247,4637
"LBE",1182956,433,1281
"LCH",367596,367,1860
"LEX",2418923,1499,5979
"LFT",1765224,1430,5149
"LGA",79318374,36415,99605
"LGB",6858996,2572,8777
"LIH",9760222,2614,10545
"LIT",5422232,3330,10422
"LNK",1265786,614,2636
"LRD",784340,452,2202
"LSE",306443,290,1645
"LWS",271068,54,588
"MAF",3285221,2135,7527
"MBS",348741,425,1721
"MCI",28267682,13378,38665
"MCO",105754994,44084,110982
"MDT",1860051,821,3285
"MDW",64948251,40879,80886
"MEI",201527,280,907
"MEM",8230448,4473,14770
"MFE",1300338,826,3411
"MFR",1308617,585,2476
"MGM",926412,955,3171
"MHK",749684,325,1634
"MHT",4069925,1791,6292
"MIA",73511376,29160,69341
"MKE",20637405,9153,29825
"MKG",78706,188,667
"MLB",588744,387,1332
"MLI",1591869,1082,3777
"MLU",1030385,807,2961
"MMH",35978,49,156
"MOB",2070352,1370,5018
"MOT",988750,414,1850
"MQT",92940,67,304
"MRY",845167,758,2974
"MSN",3729196,2079,9135
"MSO",1327266,443,2077
"MSP",90779029,35227,112117
"MSY",28547433,13442,38804
"MTJ",595421,250,1001
"MVY",26813,111,205
"MYR",2422858,1649,4831
"OAJ",453264,297,1136
"OAK",30129991,18958,42316
"OGG",25918941,6867,20627
"OKC",9589759,5030,16144
"OMA",10911203,5196,16753
"OME",340625,249,663
"ONT",9883890,6562,17978
"ORD",204941112,121706,285884
"ORF",5105140,3138,9374
"ORH",763053,170,663
"OTH",130256,110,275
"OTZ",259664,250,663
"PAH",227772,139,666
"PBG",348181,127,281
"PBI",20686540,9058,22573
"PDX",51376008,13885,47085
"PHF",644679,411,1263
"PHL",69830518,24522,66021
"PHX",141963246,59960,146815
"PIA",1764011,1292,4664
"PIB",133464,126,573
"PIH",98100,72,654
"PIT",17590177,7440,24118
"PLN",182785,115,753
"PNS",2875085,1943,6534
"PPG",278093,45,107
"PSC",1664745,451,2433
"PSE",1028925,177,749
"PSG",51128,218,664
"PSP",5721071,2638,8987
"PUB",28776,49,264
"PVD",8226544,3629,11058
"PWM",2493250,1364,4681
"RAP",1819042,880,3265
"RDD",144673,175,727
"RDM",1304538,444,2152
"RDU",20386033,11336,31896
"RHI",145959,162,954
"RIC",8212232,4858,15355
"RKS",176389,114,690
"RNO",7518414,4387,13011
"ROA",949668,691,2282
"ROC",3736421,2095,7448
"ROW",423690,234,974
"RST",652401,468,2054
"RSW",26315081,9160,27350
"SAF",790874,425,1504
"SAN",68740266,26628,70207
"SAT",21307211,10016,29788
